[2019-12-24T08:57:29.251] [INFO] http - [::1 GET /template?servid=8006003206a3466eaeb17941feb257fc 304 2ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:57:40.224] [INFO] http - [::1 GET /abroad?username=admin 200 5ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:57:43.077] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2019-12-24T08:57:54.274] [INFO] http - [::1 GET /feature?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:57:54.479] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:59:00.345] [INFO] http - [::1 GET /adv?username=admin 304 3ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:59:00.557] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:59:35.330] [INFO] http - [::1 GET /feature?username=admin 304 3ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:59:35.513] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:01:42.264] [INFO] http - [::1 GET /feature?username=admin 304 3ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:01:42.443] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:13:18.878] [INFO] http - [::1 GET /feature?username=admin 304 5ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:13:19.069] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:13:56.504] [INFO] http - [::1 GET /adv?username=admin 304 3ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:13:58.594] [INFO] http - [::1 GET /feature?username=admin 304 4ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:14:01.586] [INFO] http - [::1 GET /abroad?username=admin 304 5ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:27:57.752] [INFO] http - [::1 GET /abroad?username=admin 304 5ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:28:49.925] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:28:50.713] [INFO] http - [::1 GET /newborn?username=admin 200 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:28:53.027] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/newborn?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:04.377] [INFO] http - [::1 GET /menu?username=admin 200 8ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:26.181] [INFO] http - [::1 GET /logout?username=admin 302 4ms][http://localhost:8006/menu?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:26.183] [INFO] http - [::1 GET / 304 1ms][http://localhost:8006/menu?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:32.011] [INFO] http - [::1 POST /login 200 15ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:36.511] [INFO] http - [::1 GET /newborn?username=admin 200 3ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:38.986] [INFO] http - [::1 GET /abroad?username=admin 200 4ms][http://localhost:8006/newborn?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:29:40.042] [INFO] http - [::1 GET /newborn?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:32:11.327] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/newborn?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
